%frequency	 %AdV2017-WB	 %AdV2019-WB
   1.0000000e+01   1.0990305e-21   1.1009156e-21
   1.0023060e+01   1.0887170e-21   1.0906025e-21
   1.0046173e+01   1.0785047e-21   1.0803905e-21
   1.0069340e+01   1.0683923e-21   1.0702783e-21
   1.0092560e+01   1.0583787e-21   1.0602650e-21
   1.0115833e+01   1.0484628e-21   1.0503494e-21
   1.0139161e+01   1.0386436e-21   1.0405305e-21
   1.0162542e+01   1.0289200e-21   1.0308072e-21
   1.0185976e+01   1.0192910e-21   1.0211784e-21
   1.0209465e+01   1.0097555e-21   1.0116432e-21
   1.0233008e+01   1.0003126e-21   1.0022005e-21
   1.0256606e+01   9.9096125e-22   9.9284933e-22
   1.0280258e+01   9.8170044e-22   9.8358875e-22
   1.0303964e+01   9.7252924e-22   9.7441775e-22
   1.0327725e+01   9.6344668e-22   9.6533541e-22
   1.0351541e+01   9.5445185e-22   9.5634077e-22
   1.0375412e+01   9.4554379e-22   9.4743291e-22
   1.0399337e+01   9.3672162e-22   9.3861092e-22
   1.0423318e+01   9.2798442e-22   9.2987390e-22
   1.0447355e+01   9.1933132e-22   9.2122097e-22
   1.0471446e+01   9.1076143e-22   9.1265125e-22
   1.0495594e+01   9.0227388e-22   9.0416387e-22
   1.0519796e+01   8.9386784e-22   8.9575798e-22
   1.0544055e+01   8.8554246e-22   8.8743274e-22
   1.0568370e+01   8.7729690e-22   8.7918733e-22
   1.0592741e+01   8.6913035e-22   8.7102092e-22
   1.0617168e+01   8.6104200e-22   8.6293270e-22
   1.0641651e+01   8.5303105e-22   8.5492187e-22
   1.0666191e+01   8.4509671e-22   8.4698765e-22
   1.0690787e+01   8.3723821e-22   8.3912926e-22
   1.0715440e+01   8.2945476e-22   8.3134592e-22
   1.0740150e+01   8.2174562e-22   8.2363689e-22
   1.0764917e+01   8.1411004e-22   8.1600140e-22
   1.0789741e+01   8.0654727e-22   8.0843872e-22
   1.0814622e+01   7.9905658e-22   8.0094811e-22
   1.0839560e+01   7.9163724e-22   7.9352886e-22
   1.0864557e+01   7.8428855e-22   7.8618024e-22
   1.0889610e+01   7.7700980e-22   7.7890155e-22
   1.0914722e+01   7.6980028e-22   7.7169210e-22
   1.0939891e+01   7.6265931e-22   7.6455119e-22
   1.0965119e+01   7.5558622e-22   7.5747815e-22
   1.0990404e+01   7.4858031e-22   7.5047229e-22
   1.1015748e+01   7.4164094e-22   7.4353296e-22
   1.1041151e+01   7.3476744e-22   7.3665950e-22
   1.1066612e+01   7.2795916e-22   7.2985125e-22
   1.1092131e+01   7.2121546e-22   7.2310757e-22
   1.1117710e+01   7.1453570e-22   7.1642784e-22
   1.1143347e+01   7.0791926e-22   7.0981141e-22
   1.1169044e+01   7.0136551e-22   7.0325767e-22
   1.1194800e+01   6.9487384e-22   6.9676601e-22
   1.1220615e+01   6.8844365e-22   6.9033581e-22
   1.1246490e+01   6.8207433e-22   6.8396649e-22
   1.1272425e+01   6.7576529e-22   6.7765743e-22
   1.1298419e+01   6.6951594e-22   6.7140807e-22
   1.1324473e+01   6.6332570e-22   6.6521781e-22
   1.1350587e+01   6.5719401e-22   6.5908609e-22
   1.1376762e+01   6.5112028e-22   6.5301234e-22
   1.1402997e+01   6.4510397e-22   6.4699598e-22
   1.1429292e+01   6.3914451e-22   6.4103648e-22
   1.1455648e+01   6.3324136e-22   6.3513328e-22
   1.1482065e+01   6.2739397e-22   6.2928584e-22
   1.1508543e+01   6.2160181e-22   6.2349362e-22
   1.1535082e+01   6.1586435e-22   6.1775609e-22
   1.1561682e+01   6.1018105e-22   6.1207273e-22
   1.1588343e+01   6.0455141e-22   6.0644302e-22
   1.1615066e+01   5.9897491e-22   6.0086643e-22
   1.1641850e+01   5.9345103e-22   5.9534247e-22
   1.1668696e+01   5.8797928e-22   5.8987063e-22
   1.1695605e+01   5.8255917e-22   5.8445042e-22
   1.1722575e+01   5.7719019e-22   5.7908134e-22
   1.1749607e+01   5.7187186e-22   5.7376290e-22
   1.1776702e+01   5.6660370e-22   5.6849463e-22
   1.1803859e+01   5.6138524e-22   5.6327605e-22
   1.1831079e+01   5.5621600e-22   5.5810669e-22
   1.1858361e+01   5.5109552e-22   5.5298608e-22
   1.1885707e+01   5.4602334e-22   5.4791376e-22
   1.1913115e+01   5.4099900e-22   5.4288928e-22
   1.1940587e+01   5.3602205e-22   5.3791218e-22
   1.1968122e+01   5.3109205e-22   5.3298203e-22
   1.1995721e+01   5.2620855e-22   5.2809837e-22
   1.2023383e+01   5.2137112e-22   5.2326077e-22
   1.2051109e+01   5.1657933e-22   5.1846881e-22
   1.2078899e+01   5.1183275e-22   5.1372205e-22
   1.2106753e+01   5.0713096e-22   5.0902007e-22
   1.2134671e+01   5.0247354e-22   5.0436246e-22
   1.2162654e+01   4.9786007e-22   4.9974880e-22
   1.2190701e+01   4.9329016e-22   4.9517868e-22
   1.2218813e+01   4.8876340e-22   4.9065171e-22
   1.2246989e+01   4.8427938e-22   4.8616747e-22
   1.2275231e+01   4.7983771e-22   4.8172558e-22
