%frequency	 %AdV2015	 %AdV2017	 %AdV2019
   1.0000000e+01   1.1111897e-21   1.0991545e-21   1.1060283e-21
   1.0023060e+01   1.1008736e-21   1.0888405e-21   1.0957144e-21
   1.0046173e+01   1.0906585e-21   1.0786276e-21   1.0855016e-21
   1.0069340e+01   1.0805433e-21   1.0685147e-21   1.0753886e-21
   1.0092560e+01   1.0705268e-21   1.0585005e-21   1.0653744e-21
   1.0115833e+01   1.0606080e-21   1.0485841e-21   1.0554580e-21
   1.0139161e+01   1.0507857e-21   1.0387644e-21   1.0456382e-21
   1.0162542e+01   1.0410590e-21   1.0290402e-21   1.0359139e-21
   1.0185976e+01   1.0314268e-21   1.0194107e-21   1.0262842e-21
   1.0209465e+01   1.0218881e-21   1.0098747e-21   1.0167480e-21
   1.0233008e+01   1.0124418e-21   1.0004312e-21   1.0073043e-21
   1.0256606e+01   1.0030870e-21   9.9107924e-22   9.9795210e-22
   1.0280258e+01   9.9382271e-22   9.8181786e-22   9.8869045e-22
   1.0303964e+01   9.8464795e-22   9.7264609e-22   9.7951837e-22
   1.0327725e+01   9.7556176e-22   9.6356296e-22   9.7043491e-22
   1.0351541e+01   9.6656322e-22   9.5456755e-22   9.6143913e-22
   1.0375412e+01   9.5765139e-22   9.4565892e-22   9.5253011e-22
   1.0399337e+01   9.4882538e-22   9.3683616e-22   9.4370693e-22
   1.0423318e+01   9.4008427e-22   9.2809838e-22   9.3496870e-22
   1.0447355e+01   9.3142718e-22   9.1944468e-22   9.2631452e-22
   1.0471446e+01   9.2285325e-22   9.1087420e-22   9.1774353e-22
   1.0495594e+01   9.1436159e-22   9.0238606e-22   9.0925486e-22
   1.0519796e+01   9.0595137e-22   8.9397942e-22   9.0084766e-22
   1.0544055e+01   8.9762174e-22   8.8565343e-22   8.9252109e-22
   1.0568370e+01   8.8937187e-22   8.7740727e-22   8.8427431e-22
   1.0592741e+01   8.8120094e-22   8.6924011e-22   8.7610651e-22
   1.0617168e+01   8.7310814e-22   8.6115115e-22   8.6801688e-22
   1.0641651e+01   8.6509269e-22   8.5313959e-22   8.6000462e-22
   1.0666191e+01   8.5715377e-22   8.4520463e-22   8.5206894e-22
   1.0690787e+01   8.4929063e-22   8.3734550e-22   8.4420907e-22
   1.0715440e+01   8.4150248e-22   8.2956143e-22   8.3642423e-22
   1.0740150e+01   8.3378858e-22   8.2185166e-22   8.2871367e-22
